Cijfers tot en met consumptie;;;;;;;;;;;;;;
;;Effect-categorie;Global warming;Terrestrial acidification;Freshwater eutrophication;Marine eutrophication;Land use;Water consumption;Codering NEVO;;;;;
Naam;Eenheid     1 kg;;kg CO2 eq;kg SO2 eq;kg P eq;kg N eq;m2a crop eq;m3;NEVO code;NEVO naam;NEVO productgroep;NEVO name;NEVO productgroup;
Cheese goat fresh | Cooled | Plastic box - 250 gram | Chilled at consumer | consumed/NL Economic;;;7,638824618;0,061612187;0,002436775;0,010769771;7,096038739;0,084951304;1650;Kaas geiten- verse;Kaas;Cheese goat fresh;Cheese;
Cheese Gouda 48+ | Cooled | Plastic box - 250 gram | Chilled at consumer | consumed/NL Economic;;;10,21713023;0,03703202;0,001464009;0,011553145;4,54496786;0,074033939;513;Kaas Goudse 48+ gem;Kaas;Cheese Gouda 48+ av;Cheese;
Cheese Mozzarella | Cooled | Plastic box - 250 gram | Chilled at consumer | consumed/NL Economic;;;6,882567027;0,024867297;0,001042496;0,007666786;2,998415102;0,057065982;1955;Kaas Mozzarella gemaakt v koemelk;Kaas;Cheese Mozzarella made from cow's milk;Cheese;
Cheese old 48+ | Cooled | Plastic box - 250 gram | Chilled at consumer | consumed/NL Economic;;;10,58973164;0,038494155;0,001568512;0,011929496;4,66468183;0,087171487;883;Kaas oud 48+;Kaas;Cheese old 48+;Cheese;
Cheese spread 48+ | Cooled | Plastic box - 250 gram | Chilled at consumer | consumed/NL Economic;;;6,854454949;0,0243462;0,001030498;0,007500031;2,950769336;0,050405699;515;Kaas smeer- volvet 48+;Kaas;Cheese spread 48+ full fat;Cheese;
Stock from cube prepared | Ambient (long) | Cardboard box | Water cooker | consumed/NL Economic;;;0,311265052;0,000654707;0,000169436;9,16274E-05;0,071739282;0,004681821;1528;Bouillon v blokje bereid ;Kruiden en specerijen;Stock prepared from cube;Herbs and spices;
Stock cubes | Ambient (long) | Cardboard box | No preparation | consumed/NL Economic;;;1,530121298;0,005400169;0,000842903;0,001233001;1,017087721;0,02957175;429;Bouillonblokje;Kruiden en specerijen;Stock cube;Herbs and spices;
Ice cream dairy Cornet | Frozen | Cardboard box | Freezing at consumer | consumed/NL Economic;;;3,569228028;0,011526484;0,000948272;0,003575804;1,310220693;0,025480585;485;IJs room/vanille- cornet m chocola en nootjes;Melk en melkproducten;Ice cream dairy/non dairy cornet w chocolate and nuts;Milk and milk products;
Ice cream, dairy cream based | Frozen | Cardboard box | Freezing at consumer | consumed/NL Economic;;;3,569228028;0,011526484;0,000948272;0,003575804;1,310220693;0,025480585;303;IJs room/vanille- gem;Melk en melkproducten;Ice cream dairy av;Milk and milk products;
Ice cream, dairy cream based | Frozen | Plastic cup - 250 gram | Freezing at consumer | consumed/NL Economic;;;3,682375204;0,011769266;0,000989178;0,003573696;1,307309491;0,028054266;303;IJs room/vanille- gem;Melk en melkproducten;Ice cream dairy av;Milk and milk products;
Fromage frais half fat w fruit | Cooled | Plastic box - 250 gram | Chilled at consumer | consumed/NL Economic;;;3,104391249;0,010112997;0,000622717;0,002891951;1,192978524;0,034767366;306;Kwark halfvolle;Melk en melkproducten;Quark half fat;Milk and milk products;
Fromage frais, full fat | Cooled | Plastic box - 250 gram | Chilled at consumer | consumed/NL Economic;;;3,757687887;0,012545348;0,000665074;0,003696258;1,447758008;0,029378075;307;Kwark volle;Melk en melkproducten;Quark full fat;Milk and milk products;
Milk chocolate-, flavoured semi-skimmed | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,98956709;0,005041384;0,000668289;0,001469421;1,088349952;0,012314657;1464;Melk chocolade- halfvolle;Melk en melkproducten;Milk chocolate-flavoured semi-skimmed;Milk and milk products;
Milk chocolate-, flavoured full fat | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;2,320693493;0,006277613;0,000711178;0,001857691;1,24107594;0,01464743;272;Melk chocolade- volle;Melk en melkproducten;Milk chocolate-flavoured full fat;Milk and milk products;
Milk, semi-skimmed | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,485177305;0,00502824;0,000298212;0,001345873;0,587967494;0,011842307;286;Melk halfvolle;Melk en melkproducten;Milk semi-skimmed;Milk and milk products;
Buttermilk | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,246855478;0,004212068;0,00024178;0,001212942;0,535721765;0,010056261;289;Melk karne-;Melk en melkproducten;Buttermilk;Milk and milk products;
Coffee creamer half fat | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,498072645;0,005206552;0,000431113;0,001333582;0,585829671;0,012953402;285;Melk koffie- halfvolle;Melk en melkproducten;Coffee creamer half fat;Milk and milk products;
Coffee creamer full fat | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,708394019;0,005991767;0,000458355;0,001580199;0,682836552;0,014435108;280;Melk koffie- volle;Melk en melkproducten;Coffee creamer full fat;Milk and milk products;
Milk, skimmed | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,329704911;0,004447798;0,000278074;0,001163571;0,516258701;0,01074701;294;Melk magere;Melk en melkproducten;Milk skimmed;Milk and milk products;
Milk, whole | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,697623138;0,005821387;0,000325728;0,001594982;0,685954243;0,01333898;279;Melk volle;Melk en melkproducten;Milk whole;Milk and milk products;
Cream, whipped | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;5,661146722;0,02070349;0,000808716;0,006391609;2,574075595;0,040565856;299;Room slag- onbereid;Melk en melkproducten;Cream whipping unprepared;Milk and milk products;
Custard chocolate full fat | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;2,963413569;0,013308956;0,001052119;0,002708634;2,3565528;0,034657001;276;Vla chocolade- volle;Melk en melkproducten;Custard chocolate full fat;Milk and milk products;
Custard vanilla, full fat | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,663956681;0,005138734;0,000396289;0,001404176;0,622815116;0,014968086;282;Vla vanille- volle;Melk en melkproducten;Custard vanilla full fat;Milk and milk products;
Custard several flavours, full fat | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,663956681;0,005138734;0,000396289;0,001404176;0,622815116;0,014968086;1720;Vla volle overige smaken;Melk en melkproducten;Custard several flavours full fat;Milk and milk products;
Yoghurt, half fat | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,690785797;0,004990207;0,000372367;0,001357792;0,589620954;0,013973618;1502;Yoghurt halfvolle;Melk en melkproducten;Yoghurt half fat;Milk and milk products;
Yoghurt, low fat | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,535313403;0,004409765;0,00035223;0,001175489;0,517912161;0,012878321;301;Yoghurt magere;Melk en melkproducten;Yoghurt low fat;Milk and milk products;
Yoghurt, full fat | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,903231629;0,005783353;0,000399884;0,0016069;0,687607703;0,015470291;278;Yoghurt volle;Melk en melkproducten;Yoghurt full fat;Milk and milk products;
Yoghurt, low fat w fruit | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,544188867;0,004508617;0,000418284;0,001329763;0,548679343;0,018391476;284;Yoghurt vruchten- magere;Melk en melkproducten;Yoghurt low fat w fruit;Milk and milk products;
Yoghurt full fat with fruit | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,845881813;0,005634959;0,00045736;0,001683521;0,687829687;0,020516892;863;Yoghurt vruchten- volle;Melk en melkproducten;Yoghurt full fat w fruit;Milk and milk products;
Yoghurt drink | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,509575338;0,004340989;0,000371322;0,001150454;0,514343846;0,013610273;657;Yoghurtdrank;Melk en melkproducten;Yoghurt drink;Milk and milk products;
Yoghurt, drink w sweeteners | Cooled | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,509575338;0,004340989;0,000371322;0,001150454;0,514343846;0,013610273;1834;Yoghurtdrank m zoetstof;Melk en melkproducten;Yoghurt drink w sweetened;Milk and milk products;
Cola light soft drink w caffeine | Ambient (long) | PET bottle, returnable | Chilled at consumer | consumed/NL Economic;;;0,302854656;0,000450793;0,000124588;6,26275E-05;0,014132494;0,004720427;1523;Frisdrank light m cafeine;Niet-alcoholische dranken;Cola light soft drink w caffeine;Non-alcoholic beverages;
Soft drink, light wo caffeine | Ambient (long) | PET bottle, returnable | Chilled at consumer | consumed/NL Economic;;;0,302854656;0,000450793;0,000124588;6,26275E-05;0,014132494;0,004720427;1522;Frisdrank light z cafeine;Niet-alcoholische dranken;Soft drink light wo caffeine;Non-alcoholic beverages;
Soft drink, w sugar,sw&caffeine  | Ambient (long) | PET bottle, returnable | Chilled at consumer | consumed/NL Economic;;;0,33810591;0,000634813;0,000147196;0,000185623;0,042379778;0,004738625;2641;Frisdrank m suiker en zoetst 2-<5 g KH m cafeine;Niet-alcoholische dranken;Soft drink w sugar and sweetener 2-<5 CHO w caffeine;Non-alcoholic beverages;
Soft drink, cola w caffeine | Ambient (long) | PET bottle, returnable | Chilled at consumer | consumed/NL Economic;;;0,403572525;0,000976566;0,00018918;0,000414044;0,09483902;0,004772421;395;Frisdrank m suiker m cafeine;Niet-alcoholische dranken;Soft drink w sugar w caffeine;Non-alcoholic beverages;
Soft drink wo caffeine | Ambient (long) | PET bottle, returnable | Chilled at consumer | consumed/NL Economic;;;0,403572525;0,000976566;0,00018918;0,000414044;0,09483902;0,004772421;400;Frisdrank m suiker z cafeine;Niet-alcoholische dranken;Soft drink m sugar wo caffeine;Non-alcoholic beverages;
Softdrink with milkserum and sweetener | Ambient (average) | PET bottle, returnable | Chilled at consumer | consumed/NL Economic;;;0,445192743;0,00090019;0,000186592;0,000118846;0,024730175;0,006379463;425;Frisdrank Rivella;Niet-alcoholische dranken;Softdrink w milk serum and sweetener Rivella;Non-alcoholic beverages;
Ice tea | Ambient (long) | PET bottle, returnable | Chilled at consumer | consumed/NL Economic;;;0,486335457;0,001230422;0,000210071;0,000415592;0,301187304;0,025309978;2086;IJsthee m suiker 5-<7 g KH;Niet-alcoholische dranken;Ice tea w sugar 5-<7 g CHO;Non-alcoholic beverages;
Coffee | Ambient (long) | Coffee packaging - 500 gram | Water cooker | consumed/NL Economic;;;0,239134765;0,000633779;0,000131006;0,00055154;0,444751534;0,002121118;644;Koffie bereid;Niet-alcoholische dranken;Coffee prepared;Non-alcoholic beverages;
Cappucino w whole milk | Water cooker | consumed/NL Economic;;;1,065460938;0,003579054;0,000238048;0,001131771;0,56984404;0,008467548;2476;Koffie cappuccino vers bereid;Niet-alcoholische dranken;Coffee cappuccino freshly made;Non-alcoholic beverages;
Juice drink, 12% | Ambient (long) | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;0,484963454;0,001539182;0,000228782;0,000280303;0,166293957;0,012874859;2134;Limonade vruchten-, 12% vruchtenconcentraat;Niet-alcoholische dranken;Juice drink, 12%;Non-alcoholic beverages;
Juice drink, 8% | Ambient (long) | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;0,382915693;0,000997765;0,000179375;0,000215044;0,149483397;0,011236643;2434;Limonade vruchten-, 8% vruchtenconcentraat;Niet-alcoholische dranken;Juice drink, 8%;Non-alcoholic beverages;
Mineral water | Ambient (long) | PET bottle, returnable | No preparation | consumed/NL Economic;;;0,094966013;0,000150311;3,58187E-05;3,12158E-06;0,001513429;0,00181464;2074;Mineraalwater ;Niet-alcoholische dranken;Mineral water;Non-alcoholic beverages;
Mineral water | Ambient (long) | PET bottle, returnable | No preparation | consumed/NL Economic;;;0,094966013;0,000150311;3,58187E-05;3,12158E-06;0,001513429;0,00181464;747;Mineraalwater m en z koolzuur gem;Niet-alcoholische dranken;Mineral water sparkling and not sparkling av;Non-alcoholic beverages;
Mineral water | Ambient (long) | PET bottle, returnable | No preparation | consumed/NL Economic;;;0,103387066;0,000150311;3,58187E-05;3,12158E-06;0,001513429;0,00181464;411;Mineraalwater ;Niet-alcoholische dranken;Mineral water;Non-alcoholic beverages;
Juice, apple | Ambient (long) | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;0,446221117;0,001743098;0,000295741;0,000519644;0,323261795;0,018779984;383;Sap appel-;Niet-alcoholische dranken;Juice apple;Non-alcoholic beverages;
Juice, lemon | Ambient (long) | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;0,868974508;0,003464141;0,000340808;0,000298414;0,827583424;0,072350821;1127;Sap citroen- vers;Niet-alcoholische dranken;Juice lemon fresh;Non-alcoholic beverages;
Juice, grape | Ambient (long) | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;0,501435711;0,002273386;0,000306752;0,000405052;1,148324706;0,043696727;396;Sap druiven-;Niet-alcoholische dranken;Juice grape;Non-alcoholic beverages;
Juice, orange pasteurized  | Ambient (long) | PET bottle, non returnable | Chilled at consumer | consumed/NL Economic;;;0,93697673;0,004007036;0,000478174;0,000194255;0,580821795;0,227358576;410;Sap sinaasappel- gepasteuriseerd;Niet-alcoholische dranken;Juice orange pasteurized;Non-alcoholic beverages;
Orange juice, fresh prepared | No preparation | consumed/NL Economic;;;1,154091748;0,005818918;0,000681216;0,000279772;0,888368919;0,342830063;2755;Sap sinaasappel- vers geperst;Niet-alcoholische dranken;Juice orange freshly squeezed;Non-alcoholic beverages;
Fruit drink concentrate undiluted | Ambient (long) | PET bottle, non returnable | Chilled at consumer | consumed/NL Economic;;;1,045497802;0,004521799;0,000547953;0,001470136;0,642522979;0,029436591;463;Siroop vruchtenlimonade-;Niet-alcoholische dranken;Fruit drink concentrate undiluted;Non-alcoholic beverages;
Lemonade, light  | Ambient (long) | PET bottle, non returnable | Dilution | consumed/NL Economic;;;0,050895207;7,75737E-05;2,78871E-05;2,50207E-05;0,007167227;0,001453587;2441;Siroop vruchtenlimonade- bereid 1 op 7;Niet-alcoholische dranken;Fruit drink diluted 1 to 7;Non-alcoholic beverages;
Lemonade  | Ambient (long) | PET bottle, non returnable | Dilution | consumed/NL Economic;;;0,126203801;0,000510609;7,16758E-05;0,000184944;0,079970029;0,004295158;2484;Siroop vruchtenlimonade- light bereid gem;Niet-alcoholische dranken;Fruit drink light- diluted avg;Non-alcoholic beverages;
Lemonade, w sugar and sweetners | Ambient (long) | PET bottle, non returnable | Dilution | consumed/NL Economic;;;0,450614506;0,002165249;0,000282275;0,001336242;0,331415668;0,004514087;2643;Siroop vruchtenlimonade m suiker en zoetstof bereid;Niet-alcoholische dranken;Fruit drink diluted w sugar and sweetener;Non-alcoholic beverages;
Fruit drink concentrate Roosvicee Origin | Ambient (long) | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,060983998;0,004015623;0,000703931;0,001541479;0,783779238;0,056804098;497;Siroop vruchtenlimonade- vruchtenmix m rozenbottel;Niet-alcoholische dranken;Fruit drink concentrate fruit mix w rose hip;Non-alcoholic beverages;
Tea | Ambient (long) | Cardboard box | Water cooker | consumed/NL Economic;;;0,167442038;0,000438902;7,73243E-05;0,000224654;0,256861017;0,021830897;645;Thee bereid;Niet-alcoholische dranken;Tea prepared;Non-alcoholic beverages;
Tea herbal instant sw prepared | Ambient (long) | Cardboard box | Water cooker | consumed/NL Economic;;;0,353718709;0,000979622;0,00014942;0,000510773;0,581279149;0,047350471;2444;Thee kruiden- oplos gezoet bereid;Niet-alcoholische dranken;Tea herbal instant sweetend prepared;Non-alcoholic beverages;
Tap water | No preparation | consumed/NL Economic;;;0,001353207;4,70637E-06;1,31713E-06;3,91408E-07;2,82822E-05;0,00105586;1885;Water gem;Niet-alcoholische dranken;Water av;Non-alcoholic beverages;
Linseeds | Ambient (long) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,202129038;0,009386014;0,001102632;0,002883764;11,81780511;0,073145599;867;Lijnzaad;Noten en zaden;Linseeds;Nuts and seeds;
Almonds, salted | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;3,097045273;0,019261211;0,001519731;0,005985733;5,838261636;2,294643062;2887;Noten amandelen z vliesje gezouten;Noten en zaden;Almonds blanched salted;Nuts and seeds;
Almonds, blanced unsalted | Ambient (long) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;3,126221128;0,019453435;0,001533715;0,006050587;5,901823503;2,319631052;198;Noten amandelen z vliesje ongezouten;Noten en zaden;Almonds blanched unsalted;Nuts and seeds;
Cashew nuts, salted | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,999864223;0,014836568;0,00611074;0,012130772;8,594640413;1,072154671;2886;Noten cashew- gezouten;Noten en zaden;Cashew nuts salted;Nuts and seeds;
Cashew nuts, unsalted | Ambient (long) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;3,009858543;0,014887904;0,00613479;0,012181172;8,630453069;1,076598889;199;Noten cashew- ongezouten;Noten en zaden;Cashew nuts unsalted;Nuts and seeds;
Nuts mixed unsalted | Ambient (long) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;3,3164474;0,018563095;0,002889038;0,006377333;8,482135899;1,56938873;207;Noten gemengd ongezouten;Noten en zaden;Nuts mixed unsalted;Nuts and seeds;
Hazelnuts, salted | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;4,294783274;0,025351238;0,002791115;0,003060248;15,52099933;0,715090387;200;Noten hazel- ongezouten;Noten en zaden;Hazelnuts unsalted;Nuts and seeds;
Hazelnuts, unsalted | Ambient (long) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;4,322849569;0,025523089;0,002809624;0,003082111;15,63344156;0,720233384;200;Noten hazel- ongezouten;Noten en zaden;Hazelnuts unsalted;Nuts and seeds;
Pistachio nuts, salted | Ambient (long) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,431275416;0,012961237;0,003609571;0,003571928;5,139332988;2,843204862;1896;Noten pistache- gezouten;Noten en zaden;Pistachio nuts salted;Nuts and seeds;
Pistachio nuts, unsalted | Ambient (long) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,447137956;0,013057764;0,003640732;0,003607023;5,190907662;2,871799892;5112;Noten pistache ongezouten;Noten en zaden;Pistachio nuts unsalted;Nuts and seeds;
Walnuts, unsalted | Ambient (long) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,806860361;0,014387953;0,001078023;0,004195463;3,762825464;2,161091593;206;Noten wal- ongezouten;Noten en zaden;Walnuts unsalted;Nuts and seeds;
Groundnuts, salted | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,650996099;0,003306098;0,000497539;0,001178099;6,99453323;0,064894758;876;Pinda's gezouten;Noten en zaden;Peanuts salted;Nuts and seeds;
Peanuts, unsalted | Ambient (long) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,670760968;0,003320758;0,000499835;0,001188153;7,056485406;0,065418271;204;Pinda's ongezouten;Noten en zaden;Peanuts unsalted;Nuts and seeds;
Sesame seed | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,580367353;0,010460878;0,001335044;0,002500593;25,36989136;0,148988775;838;Sesamzaad;Noten en zaden;Sesame seeds;Nuts and seeds;
Sunflower seed | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,098613652;0,004912208;0,000431598;0,000775488;4,987137027;0,0371829;872;Zonnebloempitten;Noten en zaden;Sunflower seeds;Nuts and seeds;
Brown beans | Ambient (long) | Food can | Boiling | consumed/NL Economic;;;2,012696662;0,007273088;0,001217764;0,001355319;2,27857239;0,054089196;660;Bonen bruine blik/glas;Peulvruchten;Beans brown canned;Legumes;
Brown beans | Ambient (long) | Food can | No preparation | consumed/NL Economic;;;1,557865535;0,006643727;0,001055297;0,001319064;2,228581494;0,047843358;660;Bonen bruine blik/glas;Peulvruchten;Beans brown canned;Legumes;
Brown beans | Ambient (long) | Glass jar - 720 ml | Boiling | consumed/NL Economic;;;1,819709341;0,006346476;0,001002555;0,001345312;2,283772284;0,042901535;660;Bonen bruine blik/glas;Peulvruchten;Beans brown canned;Legumes;
Brown beans | Ambient (long) | Glass jar - 720 ml | No preparation | consumed/NL Economic;;;1,375266076;0,005747678;0,000850798;0,001309806;2,233318585;0,03737232;660;Bonen bruine blik/glas;Peulvruchten;Beans brown canned;Legumes;
Chickpeas  | Ambient (long) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;2,342467348;0,0029175;0,00067625;0,00064414;4,658426824;0,016874261;1095;Erwten kikker- gekookt;Peulvruchten;Peas chick boiled;Legumes;
Peas marrowfat legumes boiled | Ambient (long) | Glass jar - 720 ml | Boiling | consumed/NL Economic;;;1,532503514;0,005647137;0,001194225;0,002056626;4,180066736;0,017103123;196;Kapucijners blik/glas;Peulvruchten;Peas marrowfat canned;Legumes;
Lentils | Ambient (average) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,692650879;0,002621638;0,000676108;0,000623384;3,700226615;0,023298119;970;Linzen groene en bruine gekookt;Peulvruchten;Lentils green and brown boiled;Legumes;
Soup clear with meat and vegetables | Ambient (long) | Food can | Boiling | consumed/NL Economic;;;4,617724271;0,016214845;0,001308411;0,005054031;2,520501706;0,048129472;761;Soep heldere m vlees (rund/kip) en soepgroente;Soepen;Soup clear w meat (beef/chicken) and vegetables;Soups;
Soup clear w meat vegetables and noodles | Ambient (long) | Food can | Boiling | consumed/NL Economic;;;1,627162098;0,004974356;0,00092046;0,000847899;0,242560741;0,026791429;762;Soep heldere m vlees (rund/kip), soepgroente en vermicelli;Soepen;Soup clear w meat (beef/chicken) vegetables and noodles;Soups;
Soup main course w legumes and meat | Ambient (long) | Food can | Boiling | consumed/NL Economic;;;3,393402696;0,010631441;0,001124132;0,002867284;2,388462896;0,040407724;766;Soep maaltijd- m peulvruchten en vlees;Soepen;Soup main course w legumes and meat;Soups;
Soup vegetable based dried packet prep | Ambient (long) | Cardboard box | Water cooker | consumed/NL Economic;;;0,800405727;0,00220373;0,00046627;0,000810337;0,21823316;0,009962908;797;Soep op groentebasis bereid pakje;Soepen;Soup vegetable based dried packet prep;Soups;
Belgian chocolate bonbons | Ambient (average) | Cardboard box | No preparation | consumed/NL Economic;;;8,925340662;0,015309296;0,004871633;0,006492536;15,69618361;0,029514029;1508;Bonbon;Suiker, snoep, zoet beleg en zoete sauzen;Chocolates filled/Belgium chocolate;Sugar, sweets and sweet sauces;
Chocolates filled/Belguim chocolate | Ambient (long) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;15,56769964;0,012818118;0,010241954;0,005935156;34,95161348;0,020670584;1508;Bonbon;Suiker, snoep, zoet beleg en zoete sauzen;Chocolates filled/Belgium chocolate;Sugar, sweets and sweet sauces;
Chocolat, milk | Ambient (average) | Aluminium foil laminated paper - 250 gram | No preparation | consumed/NL Economic;;;9,001111493;0,016874893;0,004423167;0,006748477;13,65551598;0,029385089;431;Chocolade melk-;Suiker, snoep, zoet beleg en zoete sauzen;Chocolate milk;Sugar, sweets and sweet sauces;
Chocolate plain | Ambient (average) | Aluminium foil laminated paper - 250 gram | No preparation | consumed/NL Economic;;;15,54539795;0,012862533;0,01024587;0,00593569;34,96258432;0,02045603;432;Chocolade puur;Suiker, snoep, zoet beleg en zoete sauzen;Chocolate dark;Sugar, sweets and sweet sauces;
Liquorice Dutch type average | Ambient (long) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,097636656;0,004402594;0,000552746;0,0023867;0,641393996;0,014772591;1389;Drop gem;Suiker, snoep, zoet beleg en zoete sauzen;Liquorice Dutch type av;Sugar, sweets and sweet sauces;
Chocolate confetti averaged | Ambient (average) | Cardboard box | No preparation | consumed/NL Economic;;;7,050722117;0,008994706;0,004598136;0,00471887;14,2548465;0,011945306;1311;Hagelslag chocolade- gem;Suiker, snoep, zoet beleg en zoete sauzen;Chocolate sprinkles averaged;Sugar, sweets and sweet sauces;
Chocolat confetti, milk | Ambient (average) | Cardboard box | No preparation | consumed/NL Economic;;;6,521130906;0,011434707;0,003688958;0,005280139;11,00201464;0,01737633;1962;Hagelslag chocolade- melk;Suiker, snoep, zoet beleg en zoete sauzen;Chocolate sprinkles milk;Sugar, sweets and sweet sauces;
Chocolat confetti, plain  | Ambient (average) | Cardboard box | No preparation | consumed/NL Economic;;;7,050722117;0,008994706;0,004598136;0,00471887;14,2548465;0,011945306;1963;Hagelslag chocolade- puur;Suiker, snoep, zoet beleg en zoete sauzen;Chocolate sprinkles dark;Sugar, sweets and sweet sauces;
Honey | Ambient (long) | Glass jar - 125 gram | No preparation | consumed/NL Economic;;;0,90116508;0,004646087;0,0003958;0,000647588;0,266941807;0,004373819;443;Honing;Suiker, snoep, zoet beleg en zoete sauzen;Honey;Sugar, sweets and sweet sauces;
Honey | Ambient (long) | PET bottle, non returnable | No preparation | consumed/NL Economic;;;0,52688624;0,001948378;0,00024602;0,000635228;0,235367635;0,003455801;443;Honing;Suiker, snoep, zoet beleg en zoete sauzen;Honey;Sugar, sweets and sweet sauces;
Ice lolly/ Sorbet | Frozen | Cardboard box | Freezing at consumer | consumed/NL Economic;;;0,914283052;0,002510981;0,00054171;0,000939649;0,346937833;0,017184279;1474;IJs water-;Suiker, snoep, zoet beleg en zoete sauzen;Ice lolly;Sugar, sweets and sweet sauces;
Jam | Ambient (long) | Glass jar - 125 gram | Chilled at consumer | consumed/NL Economic;;;1,866072367;0,008625919;0,000954183;0,002365451;1,283818424;0,072871923;445;Jam;Suiker, snoep, zoet beleg en zoete sauzen;Jam;Sugar, sweets and sweet sauces;
Chocolate spread, hazelnut | Ambient (long) | Glass jar - 125 gram | No preparation | consumed/NL Economic;;;4,117855591;0,013639611;0,002096428;0,003996073;6,462694259;0,104309297;436;Pasta chocolade- hazelnoot;Suiker, snoep, zoet beleg en zoete sauzen;Spread chocolate hazelnut;Sugar, sweets and sweet sauces;
Chocolate spread, duo  | Ambient (long) | Glass jar - 125 gram | No preparation | consumed/NL Economic;;;3,607409548;0,011951644;0,001782639;0,003949236;4,860137477;0,053250592;2657;Pasta duo- m chocolade;Suiker, snoep, zoet beleg en zoete sauzen;Spread duo w chocolate;Sugar, sweets and sweet sauces;
Jam without sugar | Ambient (long) | Glass jar - 125 gram | Chilled at consumer | consumed/NL Economic;;;1,583916254;0,007432597;0,000805776;0,000584708;1,565207551;0,136543798;807;Spread fruit- m zoetstof;Suiker, snoep, zoet beleg en zoete sauzen;Fruit spread w sweetener;Sugar, sweets and sweet sauces;
Syrup, apple | Ambient (long) | Glass jar - 125 gram | No preparation | consumed/NL Economic;;;1,278359333;0,005416611;0,000656343;0,000696984;0,351555219;0,04964563;427;Stroop appel-;Suiker, snoep, zoet beleg en zoete sauzen;Syrup apple;Sugar, sweets and sweet sauces;
