Cijfers tot en met consumptie;;;;;;;;;;;;;;
;;Effect-categorie;Global warming;Terrestrial acidification;Freshwater eutrophication;Marine eutrophication;Land use;Water consumption;Codering NEVO;;;;;
Naam;Eenheid     1 kg;;kg CO2 eq;kg SO2 eq;kg P eq;kg N eq;m2a crop eq;m3;NEVO code;NEVO naam;NEVO productgroep;NEVO name;NEVO productgroup;
Apricot, w skin | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,642884131;0,002762988;0,000351521;0,000279764;1,151677613;0,325856502;149;Abrikozen m schil;Fruit;Apricots w skin;Fruits;
Apricot, wo skin | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,677127525;0,002912388;0,000371915;0,000294745;1,212313869;0,343025445;149;Abrikozen m schil;Fruit;Apricots w skin;Fruits;
Pineapple | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,680068831;0,002976147;0,000335102;0,001509631;0,275163172;0,013542575;150;Ananas;Fruit;Pineapple;Fruits;
Apple, w skin | Ambient (short) | Fruit bag (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,363186431;0,001517445;0,000258111;0,000481199;0,250763242;0,015020196;875;Appel m schil gem;Fruit;Apple w skin av;Fruits;
Apple, wo skin | Ambient (short) | Fruit bag (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,409969958;0,001715607;0,000294873;0,000541958;0,28215211;0,016935895;147;Appel z schil gem;Fruit;Apple wo skin av;Fruits;
Apple sauce | Ambient (long) | Food can | No preparation | consumed/NL Economic;;;1,419795058;0,005003898;0,000982006;0,000718532;0,32625908;0,03690812;179;Appelmoes blik/glas;Fruit;Apple sauce tinned;Fruits;
Apple sauce | Ambient (long) | Glass jar - 720 ml | No preparation | consumed/NL Economic;;;1,186117511;0,003957471;0,000725003;0,000705603;0,333261513;0,022925569;179;Appelmoes blik/glas;Fruit;Apple sauce tinned;Fruits;
Avocado | Ambient (short) | Not packed | No preparation | consumed/NL Economic;;;1,878540685;0,005280322;0,000395903;0,000883056;2,325757817;0,276517124;689;Avocado;Fruit;Avocado;Fruits;
Banana | Ambient (short) | Not packed | No preparation | consumed/NL Economic;;;0,545038704;0,002587122;0,000181274;0,000903585;0,40634135;0,020564917;151;Banaan;Fruit;Banana;Fruits;
Lemon | Ambient (short) | Plastic net (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,846449039;0,003799212;0,000371202;0,000318475;0,874139891;0,079310016;158;Citroen;Fruit;Lemon;Fruits;
Dates, dried | Ambient (long) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;1,644241882;0,009949946;0,00093811;0,000226744;1,665182876;1,486264296;181;Dadels gedroogd;Fruit;Dates dried;Fruits;
Dates | Ambient (long) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;1,444806416;0,008917111;0,000834938;0,000199668;1,461216775;1,303945498;1887;Dadels vers;Fruit;Dates fresh;Fruits;
Grapes w skin | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,446527625;0,002327814;0,000235288;0,000212715;0,632622735;0,030020009;160;Druiven m schil gem;Fruit;Grapes w skin av;Fruits;
Fruit snack Knijpfruit/Slurpfruit | Ambient (long) | Aluminium foil laminated paper - 250 gram | No preparation | consumed/NL Economic;;;0,893904926;0,002552598;0,000759008;0,000511705;0,551211063;0,047048301;2875;Fruitsnack Knijpfruit/Slurpfruit;Fruit;Fruit snack Knijpfruit/Slurpfruit;Fruits;
Kiwi | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,573626413;0,003224158;0,000395313;0,000598894;0,431083901;0,10996506;1056;Kiwi groene;Fruit;Kiwi fruit green;Fruits;
Coconut milk | Ambient (long) | Metal can (Aluminium) | Chilled at consumer | consumed/NL Economic;;;1,09411241;0,002716058;0,001239797;0,001122641;8,742993971;0,005709613;2290;Kokosmelk;Fruit;Coconut milk;Fruits;
Coconut milk | Ambient (long) | Metal can (Aluminium) | No preparation | consumed/NL Economic;;;1,046325943;0,002647602;0,00121473;0,001121014;8,742239338;0,005340727;2290;Kokosmelk;Fruit;Coconut milk;Fruits;
Coconut milk | Ambient (long) | Multilayer carton (UHT) - 1000 ml | Chilled at consumer | consumed/NL Economic;;;1,009196325;0,002182217;0,001165158;0,001128119;8,801531772;0,002874192;2290;Kokosmelk;Fruit;Coconut milk;Fruits;
Coconut milk | Ambient (long) | Multilayer carton (UHT) - 1000 ml | No preparation | consumed/NL Economic;;;0,961409858;0,002113761;0,001140092;0,001126492;8,800777138;0,002505306;2290;Kokosmelk;Fruit;Coconut milk;Fruits;
Manderins | Ambient (short) | Plastic net (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,654128991;0,002853849;0,000411303;0,000299147;0,597781587;0,149233309;165;Mandarijn;Fruit;Manderins;Fruits;
Mango | Ambient (short) | Not packed | No preparation | consumed/NL Economic;;;1,513771082;0,003820424;0,000532314;0,000834463;1,494839146;0,144556277;692;Mango;Fruit;Mango;Fruits;
Melon netted | Ambient (short) | Plastic net (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,93997966;0,002947092;0,00033938;0,000496132;1,035621539;0,030466129;166;Meloen net-;Fruit;Melon netted ;Fruits;
Melon honeydew | Ambient (short) | Not packed | No preparation | consumed/NL Economic;;;0,825449996;0,002592365;0,00029038;0,000455949;0,952823018;0,026877457;1106;Meloen suiker-;Fruit;Melon honeydew;Fruits;
Olives in brine | Ambient (long) | Food can | Chilled at consumer | consumed/NL Economic;;;1,770404369;0,009340998;0,001364863;0,001756533;5,410148621;0,384641458;3336;Olijven gem in water blik/glas;Fruit;Olives av in brine tinned/glass;Fruits;
Olives in brine | Ambient (long) | Food can | No preparation | consumed/NL Economic;;;1,711020479;0,009255928;0,001333713;0,001754512;5,409210843;0,384183045;3336;Olijven gem in water blik/glas;Fruit;Olives av in brine tinned/glass;Fruits;
