Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Metropolitan,EAT-Lancet,Cheese & Eggs,229192.84521575324
Metropolitan,EAT-Lancet,Fish,55008.55301004809
Metropolitan,EAT-Lancet,Plant Protein,26360.337374175004
Metropolitan,EAT-Lancet,Staples,436635.9856122587
Metropolitan,EAT-Lancet,Rice,35036.59587290588
Metropolitan,EAT-Lancet,Veg & Fruit,207363.09901019998
Metropolitan,EAT-Lancet,Ultra-Processed,685892.6602998242
Metropolitan,EAT-Lancet,Soups,28706.737362974993
Metropolitan,EAT-Lancet,Beverages & Additions,32556.2998446
Metropolitan,EAT-Lancet,Fats (Butter),93464.6722266029
Metropolitan,EAT-Lancet,Oils (Plant-based),131984.99936999998
Metropolitan,EAT-Lancet,Condiments,29395.992359685
Monitor 2024,Schijf van Vijf (50-50),Red Meat,1590119.47889638
Monitor 2024,Schijf van Vijf (50-50),Poultry,158622.71466338862
Monitor 2024,Schijf van Vijf (50-50),Dairy (Milk & Milkproducts),498576.1466683998
Monitor 2024,Schijf van Vijf (50-50),Cheese & Eggs,243113.54666469776
Monitor 2024,Schijf van Vijf (50-50),Fish,109848.09557139562
Monitor 2024,Schijf van Vijf (50-50),Plant Protein,120450.96534950429
Monitor 2024,Schijf van Vijf (50-50),Staples,621734.013141332
Monitor 2024,Schijf van Vijf (50-50),Rice,190815.11979883185
Monitor 2024,Schijf van Vijf (50-50),Veg & Fruit,410172.226389091
Monitor 2024,Schijf van Vijf (50-50),Ultra-Processed,437093.5311753148
Monitor 2024,Schijf van Vijf (50-50),Soups,52113.886375831935
Monitor 2024,Schijf van Vijf (50-50),Beverages & Additions,28852.324066313085
Monitor 2024,Schijf van Vijf (50-50),Fats (Butter),58383.313405816065
Monitor 2024,Schijf van Vijf (50-50),Oils (Plant-based),112314.41029274123
Monitor 2024,Schijf van Vijf (50-50),Condiments,25667.586565567795
Amsterdam Theoretical,Schijf van Vijf (50-50),Red Meat,1130433.9271768339
Amsterdam Theoretical,Schijf van Vijf (50-50),Poultry,72490.31826638817
Amsterdam Theoretical,Schijf van Vijf (50-50),Dairy (Milk & Milkproducts),432764.14793430007
Amsterdam Theoretical,Schijf van Vijf (50-50),Cheese & Eggs,185943.21611068788
Amsterdam Theoretical,Schijf van Vijf (50-50),Fish,36672.368673365396
Amsterdam Theoretical,Schijf van Vijf (50-50),Plant Protein,59525.23471587
Amsterdam Theoretical,Schijf van Vijf (50-50),Staples,451205.4835137844
Amsterdam Theoretical,Schijf van Vijf (50-50),Rice,43795.74484113234
Amsterdam Theoretical,Schijf van Vijf (50-50),Veg & Fruit,277681.77367455006
Amsterdam Theoretical,Schijf van Vijf (50-50),Ultra-Processed,361665.67188187095
Amsterdam Theoretical,Schijf van Vijf (50-50),Soups,47844.56227162499
Amsterdam Theoretical,Schijf van Vijf (50-50),Beverages & Additions,24754.519881840002
Amsterdam Theoretical,Schijf van Vijf (50-50),Fats (Butter),53600.37924870217
Amsterdam Theoretical,Schijf van Vijf (50-50),Oils (Plant-based),98988.7495275
Amsterdam Theoretical,Schijf van Vijf (50-50),Condiments,22892.06489073
Metropolitan,Schijf van Vijf (50-50),Red Meat,2134561.9791548597
Metropolitan,Schijf van Vijf (50-50),Poultry,155336.3962851175
Metropolitan,Schijf van Vijf (50-50),Dairy (Milk & Milkproducts),332895.49841099995
Metropolitan,Schijf van Vijf (50-50),Cheese & Eggs,229192.84521575324
Metropolitan,Schijf van Vijf (50-50),Fish,55008.55301004809
