Diet,Category,Mass_share_pct,Protein_share_pct
Amsterdam Goal,Oils (Plant-based),1.3003901170351104,0.0
Amsterdam Goal,Condiments,0.9102730819245773,0.6242753946312316
EAT-Lancet,Red Meat,0.8679479231246126,2.6472534745201854
EAT-Lancet,Poultry,1.7978921264724117,6.854495603668337
EAT-Lancet,Dairy (Milk & Milkproducts),15.499070055796652,0.0
EAT-Lancet,Cheese & Eggs,0.805951642901426,0.0
EAT-Lancet,Fish,1.735895846249225,5.294506949040371
EAT-Lancet,Plant Protein,7.749535027898326,23.636191736787364
EAT-Lancet,Staples,29.26224426534408,44.62512999905455
EAT-Lancet,Rice,3.7197768133911966,4.538148813463174
EAT-Lancet,Veg & Fruit,30.998140111593305,9.454476694714947
EAT-Lancet,Ultra-Processed,2.7898326100433977,2.127257256310863
