Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Mediterranean Diet,Monitor 2024 (Current),Oils (Plant-based),140430.73251534702
Mediterranean Diet,Monitor 2024 (Current),Condiments,19743.520764009532
Monitor 2024 (Current),Amsterdam Theoretical,Red Meat,1531725.3918549935
Monitor 2024 (Current),Amsterdam Theoretical,Poultry,152797.59980269673
Monitor 2024 (Current),Amsterdam Theoretical,Dairy (Milk & Milkproducts),480266.8942557947
Monitor 2024 (Current),Amsterdam Theoretical,Cheese & Eggs,234185.6681038165
Monitor 2024 (Current),Amsterdam Theoretical,Fish,105814.1350173254
Monitor 2024 (Current),Amsterdam Theoretical,Plant Protein,116027.63474561802
Monitor 2024 (Current),Amsterdam Theoretical,Staples,598902.0243745737
Monitor 2024 (Current),Amsterdam Theoretical,Rice,183807.8006242507
Monitor 2024 (Current),Amsterdam Theoretical,Veg & Fruit,395109.4383359898
Monitor 2024 (Current),Amsterdam Theoretical,Ultra-Processed,421042.109855457
Monitor 2024 (Current),Amsterdam Theoretical,Soups,50200.10388496694
Monitor 2024 (Current),Amsterdam Theoretical,Beverages & Additions,27792.777821370582
Monitor 2024 (Current),Amsterdam Theoretical,Fats (Butter),56239.29823586799
Monitor 2024 (Current),Amsterdam Theoretical,Oils (Plant-based),108189.87906242875
Monitor 2024 (Current),Amsterdam Theoretical,Condiments,24724.993695067045
Metropolitan (High Risk),Amsterdam Theoretical,Red Meat,2471422.821685409
Metropolitan (High Risk),Amsterdam Theoretical,Poultry,179850.44171423253
Metropolitan (High Risk),Amsterdam Theoretical,Dairy (Milk & Milkproducts),385430.6129518091
Metropolitan (High Risk),Amsterdam Theoretical,Cheese & Eggs,265362.3711865666
Metropolitan (High Risk),Amsterdam Theoretical,Fish,63689.59750269282
Metropolitan (High Risk),Amsterdam Theoretical,Plant Protein,30520.33157625008
Metropolitan (High Risk),Amsterdam Theoretical,Staples,505542.65940710343
Metropolitan (High Risk),Amsterdam Theoretical,Rice,40565.8132582087
Metropolitan (High Risk),Amsterdam Theoretical,Veg & Fruit,240087.61529244846
Metropolitan (High Risk),Amsterdam Theoretical,Ultra-Processed,1114195.4084371089
Metropolitan (High Risk),Amsterdam Theoretical,Soups,33237.02312128485
Metropolitan (High Risk),Amsterdam Theoretical,Beverages & Additions,37694.09518735754
Metropolitan (High Risk),Amsterdam Theoretical,Fats (Butter),108214.57808108686
Metropolitan (High Risk),Amsterdam Theoretical,Oils (Plant-based),152813.89940820623
Metropolitan (High Risk),Amsterdam Theoretical,Condiments,34035.05126263882
Metabolic Balance,Amsterdam Theoretical,Red Meat,2284338.088776364
Metabolic Balance,Amsterdam Theoretical,Poultry,275035.36362495675
Metabolic Balance,Amsterdam Theoretical,Dairy (Milk & Milkproducts),110515.83447786357
Metabolic Balance,Amsterdam Theoretical,Cheese & Eggs,373111.8726087287
Metabolic Balance,Amsterdam Theoretical,Fish,194793.97927877383
Metabolic Balance,Amsterdam Theoretical,Plant Protein,73028.08445673803
Metabolic Balance,Amsterdam Theoretical,Staples,142635.65483941004
Metabolic Balance,Amsterdam Theoretical,Rice,23263.14803678893
Metabolic Balance,Amsterdam Theoretical,Veg & Fruit,413825.8119215155
Metabolic Balance,Amsterdam Theoretical,Ultra-Processed,72317.98247443516
Metabolic Balance,Amsterdam Theoretical,Soups,76241.3201728345
Metabolic Balance,Amsterdam Theoretical,Beverages & Additions,26095.368845874393
Metabolic Balance,Amsterdam Theoretical,Fats (Butter),163907.0457721734
Metabolic Balance,Amsterdam Theoretical,Oils (Plant-based),153358.9773591499
Metabolic Balance,Amsterdam Theoretical,Condiments,19376.785075854492
Dutch Goal (60:40),Amsterdam Theoretical,Red Meat,811738.8748944412
Dutch Goal (60:40),Amsterdam Theoretical,Poultry,67144.79932529855
Dutch Goal (60:40),Amsterdam Theoretical,Dairy (Milk & Milkproducts),431686.36530117644
Dutch Goal (60:40),Amsterdam Theoretical,Cheese & Eggs,165115.9243941721
Dutch Goal (60:40),Amsterdam Theoretical,Fish,63407.13172814603
Dutch Goal (60:40),Amsterdam Theoretical,Plant Protein,325877.7762534211
Dutch Goal (60:40),Amsterdam Theoretical,Staples,784373.5751883641
Dutch Goal (60:40),Amsterdam Theoretical,Rice,100964.75585411962
Dutch Goal (60:40),Amsterdam Theoretical,Veg & Fruit,614249.7620805285
Dutch Goal (60:40),Amsterdam Theoretical,Ultra-Processed,312675.3351530619
Dutch Goal (60:40),Amsterdam Theoretical,Soups,68936.69930470327
Dutch Goal (60:40),Amsterdam Theoretical,Beverages & Additions,25884.277899850273
Dutch Goal (60:40),Amsterdam Theoretical,Fats (Butter),35646.23575045908
Dutch Goal (60:40),Amsterdam Theoretical,Oils (Plant-based),104593.61273817049
Dutch Goal (60:40),Amsterdam Theoretical,Condiments,22313.304050809704
Amsterdam Goal (70:30),Amsterdam Theoretical,Red Meat,500482.16016050614
Amsterdam Goal (70:30),Amsterdam Theoretical,Poultry,40008.598812465454
Amsterdam Goal (70:30),Amsterdam Theoretical,Dairy (Milk & Milkproducts),257222.70042795123
Amsterdam Goal (70:30),Amsterdam Theoretical,Cheese & Eggs,153677.31624201252
Amsterdam Goal (70:30),Amsterdam Theoretical,Fish,85008.35018447414
Amsterdam Goal (70:30),Amsterdam Theoretical,Plant Protein,405663.9945075178
Amsterdam Goal (70:30),Amsterdam Theoretical,Staples,829333.1748739049
Amsterdam Goal (70:30),Amsterdam Theoretical,Rice,135360.91426963353
Amsterdam Goal (70:30),Amsterdam Theoretical,Veg & Fruit,694614.6051204145
Amsterdam Goal (70:30),Amsterdam Theoretical,Ultra-Processed,267040.9084057611
Amsterdam Goal (70:30),Amsterdam Theoretical,Soups,88724.83455290123
Amsterdam Goal (70:30),Amsterdam Theoretical,Beverages & Additions,21733.618476687683
Amsterdam Goal (70:30),Amsterdam Theoretical,Fats (Butter),25911.02594702963
Amsterdam Goal (70:30),Amsterdam Theoretical,Oils (Plant-based),101982.56845161063
Amsterdam Goal (70:30),Amsterdam Theoretical,Condiments,21506.99054679522
EAT-Lancet (Planetary),Amsterdam Theoretical,Red Meat,282500.6707479099
EAT-Lancet (Planetary),Amsterdam Theoretical,Poultry,115631.59835537674
EAT-Lancet (Planetary),Amsterdam Theoretical,Dairy (Milk & Milkproducts),640876.7129421398
EAT-Lancet (Planetary),Amsterdam Theoretical,Cheese & Eggs,51834.854435168876
EAT-Lancet (Planetary),Amsterdam Theoretical,Fish,158144.3021475328
EAT-Lancet (Planetary),Amsterdam Theoretical,Plant Protein,311121.6465472414
EAT-Lancet (Planetary),Amsterdam Theoretical,Staples,719412.460585424
EAT-Lancet (Planetary),Amsterdam Theoretical,Rice,161882.42979233823
EAT-Lancet (Planetary),Amsterdam Theoretical,Veg & Fruit,781474.3354290059
EAT-Lancet (Planetary),Amsterdam Theoretical,Ultra-Processed,221648.16964592354
EAT-Lancet (Planetary),Amsterdam Theoretical,Soups,58949.364608951015
EAT-Lancet (Planetary),Amsterdam Theoretical,Beverages & Additions,16171.549831421044
EAT-Lancet (Planetary),Amsterdam Theoretical,Fats (Butter),11428.437288996462
EAT-Lancet (Planetary),Amsterdam Theoretical,Oils (Plant-based),91473.15197940674
