Diet,Category,CO2_share_pct,Mass_share_pct
Amsterdam Goal,Ultra-Processed,7.3600029434856244,4.096228868660598
Amsterdam Goal,Soups,2.4453745584080706,1.950585175552666
Amsterdam Goal,Beverages & Additions,0.5990074588795248,1.8205461638491547
Amsterdam Goal,Fats (Butter),0.7141423700862314,0.5201560468140443
Amsterdam Goal,Oils (Plant-based),2.8107753544920353,1.3003901170351104
Amsterdam Goal,Condiments,0.5927612914250981,0.9102730819245773
EAT-Lancet,Red Meat,7.757667665094088,0.8679479231246126
EAT-Lancet,Poultry,3.175325245245598,1.7978921264724117
EAT-Lancet,Dairy (Milk & Milkproducts),17.59892654463656,15.499070055796652
EAT-Lancet,Cheese & Eggs,1.4234216616618194,0.805951642901426
EAT-Lancet,Fish,4.342754075382533,1.735895846249225
