Diet,Category,Scope1+2_tonnes_per_year,Scope3_tonnes_per_year,Total_tonnes_per_year,Scope1+2_pct,Scope3_pct
Metropolitan,Soups,4306.01060444625,24400.72675852874,28706.737362974993,15.000000000000005,84.99999999999999
Metropolitan,Beverages & Additions,4883.444976690001,27672.85486791,32556.2998446,15.000000000000002,85.0
Metropolitan,Fats (Butter),14019.700833990439,79444.97139261245,93464.6722266029,15.000000000000005,84.99999999999999
Metropolitan,Oils (Plant-based),19797.7499055,112187.24946449997,131984.99936999998,15.000000000000002,84.99999999999999
Metropolitan,Condiments,4409.39885395275,24986.59350573225,29395.992359685,15.0,85.0
Metabolic Balance,Red Meat,258032.88852063447,1462186.3682835947,1720219.2568042292,15.000000000000005,85.0
Metabolic Balance,Poultry,31067.279257023496,176047.91578979982,207115.19504682333,15.0,85.0
Metabolic Balance,Dairy (Milk & Milkproducts),12483.581190412502,70740.29341233749,83223.87460274999,15.000000000000005,85.0
Metabolic Balance,Cheese & Eggs,42145.74659661886,238825.8973808402,280971.64397745905,15.000000000000002,85.00000000000001
Metabolic Balance,Fish,22003.421204019243,124686.05348944233,146689.47469346158,15.000000000000005,84.99999999999999
Metabolic Balance,Plant Protein,8249.062460625002,46744.687276875,54993.74973750001,15.000000000000002,84.99999999999999
Metabolic Balance,Staples,16111.75254883576,91299.9311100693,107411.68365890507,15.0,85.0
Metabolic Balance,Rice,2627.744690467941,14890.553245984996,17518.29793645294,15.000000000000002,85.0
Metabolic Balance,Veg & Fruit,46744.687276875,264886.56123562495,311631.24851249997,15.000000000000002,85.0
Metabolic Balance,Ultra-Processed,8168.851187811184,46290.15673093003,54459.00791874121,15.000000000000005,85.0
Metabolic Balance,Soups,8612.0212088925,48801.45351705748,57413.474725949985,15.000000000000005,84.99999999999999
Metabolic Balance,Beverages & Additions,2947.6649859300005,16703.434920269996,19651.099906199997,15.000000000000005,84.99999999999999
Metabolic Balance,Fats (Butter),18514.51353776305,104915.57671399057,123430.09025175362,15.000000000000007,85.0
Metabolic Balance,Oils (Plant-based),17323.0311673125,98163.8432814375,115486.87444875,15.0,85.0
Metabolic Balance,Condiments,2188.7512395525005,12402.9236907975,14591.67493035,15.000000000000002,85.0
Dutch Goal,Red Meat,84506.42010692306,478869.71393923066,563376.1340461537,15.0,85.0
Dutch Goal,Poultry,6990.137832830285,39610.78105270495,46600.91888553524,15.0,85.0
Dutch Goal,Dairy (Milk & Milkproducts),44940.89228548501,254665.05628441498,299605.9485699,15.000000000000002,85.0
Dutch Goal,Cheese & Eggs,17189.463391181493,97406.95921669513,114596.42260787662,15.0,85.00000000000001
Dutch Goal,Fish,6601.0263612057715,37405.8160468327,44006.84240803847,15.000000000000002,84.99999999999999
Dutch Goal,Plant Protein,33925.64421306376,192245.31720736128,226170.96142042504,15.000000000000002,85.0
