Diet,Category,Land_hectares
8. Schijf van 5 (Guideline),Dairy (Liquid),138832312.49999997
8. Schijf van 5 (Guideline),Dairy (Solid) & Eggs,151789994.99999994
8. Schijf van 5 (Guideline),Fish,4627743.749999999
8. Schijf van 5 (Guideline),Plant Protein,78671643.74999999
8. Schijf van 5 (Guideline),taples,0.0
8. Schijf van 5 (Guideline),Rice,44426340.0
8. Schijf van 5 (Guideline),Veg & Fruit,90703777.49999999
8. Schijf van 5 (Guideline),Ultra-Processed,87186692.24999999
8. Schijf van 5 (Guideline),Beverages & Additions,7478433.9
8. Schijf van 5 (Guideline),"Fats (Solid, Animal)",40353925.5
8. Schijf van 5 (Guideline),Oils (Plant-based),9255487.499999998
8. Schijf van 5 (Guideline),Condiments,8144829.0
9. Mediterranean Diet,Red Meat,100699703.99999999
9. Mediterranean Diet,Poultry,51830730.0
9. Mediterranean Diet,Dairy (Liquid),111065849.99999999
9. Mediterranean Diet,Dairy (Solid) & Eggs,149938897.49999994
9. Mediterranean Diet,Fish,6478841.25
9. Mediterranean Diet,Plant Protein,105512557.49999997
9. Mediterranean Diet,taples,0.0
9. Mediterranean Diet,Rice,49979632.49999999
9. Mediterranean Diet,Veg & Fruit,104401899.0
9. Mediterranean Diet,Ultra-Processed,62863271.1
9. Mediterranean Diet,Beverages & Additions,8292916.799999999
9. Mediterranean Diet,"Fats (Solid, Animal)",27766462.5
9. Mediterranean Diet,Oils (Plant-based),11106584.999999998
9. Mediterranean Diet,Condiments,7034170.5
