Diet,Category,CO2_share_pct,Mass_share_pct
EAT-Lancet,Red Meat,14.131897711978466,1.237842617152962
EAT-Lancet,Poultry,6.209470206778418,2.564102564102564
EAT-Lancet,Dairy (Liquid),19.882540070965376,22.104332449160037
EAT-Lancet,Dairy (Solid) & Eggs,1.7496635262449531,1.1494252873563218
EAT-Lancet,Fish,5.995350544475714,2.475685234305924
EAT-Lancet,Plant Protein,5.047106325706596,11.052166224580018
EAT-Lancet,taples,0.0,0.0
EAT-Lancet,Rice,9.176556955830174,5.305039787798409
EAT-Lancet,Veg & Fruit,19.57665483910437,44.20866489832007
EAT-Lancet,Ultra-Processed,9.788327419552182,4.862953138815207
EAT-Lancet,Beverages & Additions,2.202373669399242,1.9451812555260832
EAT-Lancet,"Fats (Solid, Animal)",3.058852318610058,0.3536693191865605
