Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Monitor 2024,Schijf van Vijf (50-50),Ultra-Processed,250456.4662905154
Monitor 2024,Schijf van Vijf (50-50),Soups,29062.789919414998
Monitor 2024,Schijf van Vijf (50-50),Beverages & Additions,16927.673000594998
Monitor 2024,Schijf van Vijf (50-50),Fats (Butter),33530.21410773477
Monitor 2024,Schijf van Vijf (50-50),Oils (Plant-based),67047.6123253125
Monitor 2024,Schijf van Vijf (50-50),Condiments,15376.73841788175
Amsterdam Theoretical,Schijf van Vijf (50-50),Red Meat,309310.3525819597
Amsterdam Theoretical,Schijf van Vijf (50-50),Poultry,49225.983566942654
Amsterdam Theoretical,Schijf van Vijf (50-50),Processed Meats,458333.1514544021
Amsterdam Theoretical,Schijf van Vijf (50-50),Dairy (Milk & Milkproducts),317024.89906814997
Amsterdam Theoretical,Schijf van Vijf (50-50),Cheese & Eggs,132972.29377161228
Amsterdam Theoretical,Schijf van Vijf (50-50),Fish,26864.6421676979
Amsterdam Theoretical,Schijf van Vijf (50-50),Plant Protein,50898.326826815995
Amsterdam Theoretical,Schijf van Vijf (50-50),Staples,368959.4135081473
Amsterdam Theoretical,Schijf van Vijf (50-50),Rice,35596.77400459478
Amsterdam Theoretical,Schijf van Vijf (50-50),Veg & Fruit,237761.34180114753
Amsterdam Theoretical,Schijf van Vijf (50-50),Ultra-Processed,282269.39779934246
Amsterdam Theoretical,Schijf van Vijf (50-50),Soups,36328.48739926875
Amsterdam Theoretical,Schijf van Vijf (50-50),Beverages & Additions,19746.865766208
Amsterdam Theoretical,Schijf van Vijf (50-50),Fats (Butter),41912.76763466845
Amsterdam Theoretical,Schijf van Vijf (50-50),Oils (Plant-based),80457.134790375
Amsterdam Theoretical,Schijf van Vijf (50-50),Condiments,18678.622835260496
Metropolitan,Schijf van Vijf (50-50),Red Meat,663802.5328530963
Metropolitan,Schijf van Vijf (50-50),Poultry,105484.2505005914
Metropolitan,Schijf van Vijf (50-50),Processed Meats,785713.9739218319
Metropolitan,Schijf van Vijf (50-50),Dairy (Milk & Milkproducts),243865.30697550002
Metropolitan,Schijf van Vijf (50-50),Cheese & Eggs,163844.68093400123
Metropolitan,Schijf van Vijf (50-50),Fish,40296.963251546855
Metropolitan,Schijf van Vijf (50-50),Plant Protein,22787.363612160003
Metropolitan,Schijf van Vijf (50-50),Staples,358451.7374050731
Metropolitan,Schijf van Vijf (50-50),Rice,28477.41920367582
Metropolitan,Schijf van Vijf (50-50),Veg & Fruit,177589.363536039
Metropolitan,Schijf van Vijf (50-50),Ultra-Processed,536111.5161778267
Metropolitan,Schijf van Vijf (50-50),Soups,21797.092439561246
Metropolitan,Schijf van Vijf (50-50),Beverages & Additions,25951.59313194
Metropolitan,Schijf van Vijf (50-50),Fats (Butter),73763.05346630795
Metropolitan,Schijf van Vijf (50-50),Oils (Plant-based),107276.17972049999
Metropolitan,Schijf van Vijf (50-50),Condiments,23928.87185961825
