Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Amsterdam Goal,Amsterdam Theoretical,Poultry,17580.708416765232
Amsterdam Goal,Amsterdam Theoretical,Processed Meats,130952.328986972
Amsterdam Goal,Amsterdam Theoretical,Dairy (Milk & Milkproducts),121932.65348775001
Amsterdam Goal,Amsterdam Theoretical,Cheese & Eggs,71227.51944683443
Amsterdam Goal,Amsterdam Theoretical,Fish,40296.963251546855
Amsterdam Goal,Amsterdam Theoretical,Plant Protein,228397.48356096
Amsterdam Goal,Amsterdam Theoretical,Staples,439748.76451159467
Amsterdam Goal,Amsterdam Theoretical,Rice,71193.54800918956
Amsterdam Goal,Amsterdam Theoretical,Veg & Fruit,384729.45223335
Amsterdam Goal,Amsterdam Theoretical,Ultra-Processed,135036.16119143774
Amsterdam Goal,Amsterdam Theoretical,Soups,43594.18487912249
Amsterdam Goal,Amsterdam Theoretical,Beverages & Additions,11289.287469369
Amsterdam Goal,Amsterdam Theoretical,Fats (Butter),13076.954380551986
Amsterdam Goal,Amsterdam Theoretical,Oils (Plant-based),53638.089860249995
Amsterdam Goal,Amsterdam Theoretical,Condiments,11383.842614266501
EAT-Lancet,Amsterdam Theoretical,Red Meat,124559.63398185725
EAT-Lancet,Amsterdam Theoretical,Poultry,50984.05440861918
EAT-Lancet,Amsterdam Theoretical,Processed Meats,0.0
EAT-Lancet,Amsterdam Theoretical,Dairy (Milk & Milkproducts),304831.63371937495
EAT-Lancet,Amsterdam Theoretical,Cheese & Eggs,24655.137317347137
EAT-Lancet,Amsterdam Theoretical,Fish,75220.99806955413
EAT-Lancet,Amsterdam Theoretical,Plant Protein,180399.9619296
EAT-Lancet,Amsterdam Theoretical,Staples,381888.410491585
EAT-Lancet,Amsterdam Theoretical,Rice,85432.25761102745
EAT-Lancet,Amsterdam Theoretical,Veg & Fruit,433980.66083547
EAT-Lancet,Amsterdam Theoretical,Ultra-Processed,115017.23856806582
EAT-Lancet,Amsterdam Theoretical,Soups,29062.789919414998
EAT-Lancet,Amsterdam Theoretical,Beverages & Additions,8470.094703756
EAT-Lancet,Amsterdam Theoretical,Fats (Butter),5700.649033921191
EAT-Lancet,Amsterdam Theoretical,Oils (Plant-based),48274.280874225
EAT-Lancet,Amsterdam Theoretical,Condiments,10126.489393524
Schijf van Vijf (50-50),Amsterdam Theoretical,Red Meat,186143.20684855804
Schijf van Vijf (50-50),Amsterdam Theoretical,Poultry,43951.77104191308
Schijf van Vijf (50-50),Amsterdam Theoretical,Processed Meats,261904.657973944
Schijf van Vijf (50-50),Amsterdam Theoretical,Dairy (Milk & Milkproducts),304831.63371937495
Schijf van Vijf (50-50),Amsterdam Theoretical,Cheese & Eggs,102099.90660922337
Schijf van Vijf (50-50),Amsterdam Theoretical,Fish,67161.60541924476
Schijf van Vijf (50-50),Amsterdam Theoretical,Plant Protein,112070.61155808001
Schijf van Vijf (50-50),Amsterdam Theoretical,Staples,420404.7796547698
Schijf van Vijf (50-50),Amsterdam Theoretical,Rice,56954.83840735164
Schijf van Vijf (50-50),Amsterdam Theoretical,Veg & Fruit,384729.45223335
Schijf van Vijf (50-50),Amsterdam Theoretical,Ultra-Processed,186830.60327286125
Schijf van Vijf (50-50),Amsterdam Theoretical,Soups,36328.48739926875
Schijf van Vijf (50-50),Amsterdam Theoretical,Beverages & Additions,14391.651152235001
Schijf van Vijf (50-50),Amsterdam Theoretical,Fats (Butter),21459.507907485677
Schijf van Vijf (50-50),Amsterdam Theoretical,Oils (Plant-based),67047.6123253125
Schijf van Vijf (50-50),Amsterdam Theoretical,Condiments,13207.537669515
Mediterranean Diet,Amsterdam Theoretical,Red Meat,240764.33847298083
Mediterranean Diet,Amsterdam Theoretical,Poultry,35161.416833530464
Mediterranean Diet,Amsterdam Theoretical,Processed Meats,130952.328986972
Mediterranean Diet,Amsterdam Theoretical,Dairy (Milk & Milkproducts),243865.30697550002
Mediterranean Diet,Amsterdam Theoretical,Cheese & Eggs,98306.80856040074
Mediterranean Diet,Amsterdam Theoretical,Fish,94026.24758694267
Mediterranean Diet,Amsterdam Theoretical,Plant Protein,140783.999328
Mediterranean Diet,Amsterdam Theoretical,Staples,423062.5611592065
Mediterranean Diet,Amsterdam Theoretical,Rice,64074.19320827061
Mediterranean Diet,Amsterdam Theoretical,Veg & Fruit,447828.00175774505
Mediterranean Diet,Amsterdam Theoretical,Ultra-Processed,120475.57302615998
Mediterranean Diet,Amsterdam Theoretical,Soups,43594.18487912249
Mediterranean Diet,Amsterdam Theoretical,Beverages & Additions,18897.353014449
Mediterranean Diet,Amsterdam Theoretical,Fats (Butter),14083.202560854883
Mediterranean Diet,Amsterdam Theoretical,Oils (Plant-based),80457.134790375
Mediterranean Diet,Amsterdam Theoretical,Condiments,11383.842614266501
Monitor 2024,Metropolitan,Red Meat,238829.66300226905
Monitor 2024,Metropolitan,Poultry,43951.77104191308
Monitor 2024,Metropolitan,Processed Meats,392856.98696091597
Monitor 2024,Metropolitan,Dairy (Milk & Milkproducts),268251.83767305
Monitor 2024,Metropolitan,Cheese & Eggs,127967.1198246801
Monitor 2024,Metropolitan,Fish,59102.21276893539
Monitor 2024,Metropolitan,Plant Protein,75990.61917216
Monitor 2024,Metropolitan,Staples,373153.9759721682
Monitor 2024,Metropolitan,Rice,42716.12880551373
Monitor 2024,Metropolitan,Veg & Fruit,257997.08921327774
Monitor 2024,Metropolitan,Ultra-Processed,250456.4662905154
Monitor 2024,Metropolitan,Soups,29062.789919414998
Monitor 2024,Metropolitan,Beverages & Additions,16927.673000594998
Monitor 2024,Metropolitan,Fats (Butter),33530.21410773477
Monitor 2024,Metropolitan,Oils (Plant-based),67047.6123253125
Monitor 2024,Metropolitan,Condiments,15376.73841788175
Amsterdam Theoretical,Metropolitan,Red Meat,309310.3525819597
Amsterdam Theoretical,Metropolitan,Poultry,49225.983566942654
Amsterdam Theoretical,Metropolitan,Processed Meats,458333.1514544021
Amsterdam Theoretical,Metropolitan,Dairy (Milk & Milkproducts),317024.89906814997
Amsterdam Theoretical,Metropolitan,Cheese & Eggs,132972.29377161228
Amsterdam Theoretical,Metropolitan,Fish,26864.6421676979
Amsterdam Theoretical,Metropolitan,Plant Protein,50898.326826815995
Amsterdam Theoretical,Metropolitan,Staples,368959.4135081473
Amsterdam Theoretical,Metropolitan,Rice,35596.77400459478
Amsterdam Theoretical,Metropolitan,Veg & Fruit,237761.34180114753
Amsterdam Theoretical,Metropolitan,Ultra-Processed,282269.39779934246
Amsterdam Theoretical,Metropolitan,Soups,36328.48739926875
Amsterdam Theoretical,Metropolitan,Beverages & Additions,19746.865766208
Amsterdam Theoretical,Metropolitan,Fats (Butter),41912.76763466845
Amsterdam Theoretical,Metropolitan,Oils (Plant-based),80457.134790375
Amsterdam Theoretical,Metropolitan,Condiments,18678.622835260496
Metabolic Balance,Metropolitan,Red Meat,971720.3971866004
Metabolic Balance,Metropolitan,Poultry,140645.66733412186
Metabolic Balance,Metropolitan,Processed Meats,196428.49348045798
Metabolic Balance,Metropolitan,Dairy (Milk & Milkproducts),60966.326743875004
Metabolic Balance,Metropolitan,Cheese & Eggs,201775.66142222763
Metabolic Balance,Metropolitan,Fish,107458.5686707916
Metabolic Balance,Metropolitan,Plant Protein,49110.69744
Metabolic Balance,Metropolitan,Staples,87303.21729950538
Metabolic Balance,Metropolitan,Rice,14238.70960183791
Metabolic Balance,Metropolitan,Veg & Fruit,266241.53901985503
Metabolic Balance,Metropolitan,Ultra-Processed,42307.82786861583
Metabolic Balance,Metropolitan,Soups,43594.18487912249
Metabolic Balance,Metropolitan,Beverages & Additions,15807.505738499998
Metabolic Balance,Metropolitan,Fats (Butter),97567.62581890993
Metabolic Balance,Metropolitan,Oils (Plant-based),93866.6572554375
Metabolic Balance,Metropolitan,Condiments,11950.184448772501
Dutch Goal,Metropolitan,Red Meat,186143.20684855804
Dutch Goal,Metropolitan,Poultry,31645.27515017742
Dutch Goal,Metropolitan,Processed Meats,196428.49348045798
Dutch Goal,Metropolitan,Dairy (Milk & Milkproducts),219478.77627795
Dutch Goal,Metropolitan,Cheese & Eggs,81922.34046700061
Dutch Goal,Metropolitan,Fish,32237.570601237487
Dutch Goal,Metropolitan,Plant Protein,195951.68278560002
Dutch Goal,Metropolitan,Staples,446472.77632013615
Dutch Goal,Metropolitan,Rice,56954.83840735164
Dutch Goal,Metropolitan,Veg & Fruit,365028.968792502
Dutch Goal,Metropolitan,Ultra-Processed,169559.55390392416
Dutch Goal,Metropolitan,Soups,36328.48739926875
Dutch Goal,Metropolitan,Beverages & Additions,14391.651152235001
Dutch Goal,Metropolitan,Fats (Butter),19447.011546879883
Dutch Goal,Metropolitan,Oils (Plant-based),59001.898846275
Dutch Goal,Metropolitan,Condiments,12641.195835009
Amsterdam Goal,Metropolitan,Red Meat,88971.16712989804
Amsterdam Goal,Metropolitan,Poultry,17580.708416765232
Amsterdam Goal,Metropolitan,Processed Meats,130952.328986972
Amsterdam Goal,Metropolitan,Dairy (Milk & Milkproducts),121932.65348775001
Amsterdam Goal,Metropolitan,Cheese & Eggs,71227.51944683443
Amsterdam Goal,Metropolitan,Fish,40296.963251546855
Amsterdam Goal,Metropolitan,Plant Protein,228397.48356096
Amsterdam Goal,Metropolitan,Staples,439748.76451159467
Amsterdam Goal,Metropolitan,Rice,71193.54800918956
Amsterdam Goal,Metropolitan,Veg & Fruit,384729.45223335
Amsterdam Goal,Metropolitan,Ultra-Processed,135036.16119143774
Amsterdam Goal,Metropolitan,Soups,43594.18487912249
Amsterdam Goal,Metropolitan,Beverages & Additions,11289.287469369
Amsterdam Goal,Metropolitan,Fats (Butter),13076.954380551986
Amsterdam Goal,Metropolitan,Oils (Plant-based),53638.089860249995
Amsterdam Goal,Metropolitan,Condiments,11383.842614266501
EAT-Lancet,Metropolitan,Red Meat,124559.63398185725
EAT-Lancet,Metropolitan,Poultry,50984.05440861918
EAT-Lancet,Metropolitan,Processed Meats,0.0
EAT-Lancet,Metropolitan,Dairy (Milk & Milkproducts),304831.63371937495
EAT-Lancet,Metropolitan,Cheese & Eggs,24655.137317347137
EAT-Lancet,Metropolitan,Fish,75220.99806955413
EAT-Lancet,Metropolitan,Plant Protein,180399.9619296
EAT-Lancet,Metropolitan,Staples,381888.410491585
EAT-Lancet,Metropolitan,Rice,85432.25761102745
EAT-Lancet,Metropolitan,Veg & Fruit,433980.66083547
EAT-Lancet,Metropolitan,Ultra-Processed,115017.23856806582
EAT-Lancet,Metropolitan,Soups,29062.789919414998
EAT-Lancet,Metropolitan,Beverages & Additions,8470.094703756
EAT-Lancet,Metropolitan,Fats (Butter),5700.649033921191
EAT-Lancet,Metropolitan,Oils (Plant-based),48274.280874225
EAT-Lancet,Metropolitan,Condiments,10126.489393524
Schijf van Vijf (50-50),Metropolitan,Red Meat,186143.20684855804
Schijf van Vijf (50-50),Metropolitan,Poultry,43951.77104191308
Schijf van Vijf (50-50),Metropolitan,Processed Meats,261904.657973944
Schijf van Vijf (50-50),Metropolitan,Dairy (Milk & Milkproducts),304831.63371937495
Schijf van Vijf (50-50),Metropolitan,Cheese & Eggs,102099.90660922337
Schijf van Vijf (50-50),Metropolitan,Fish,67161.60541924476
Schijf van Vijf (50-50),Metropolitan,Plant Protein,112070.61155808001
Schijf van Vijf (50-50),Metropolitan,Staples,420404.7796547698
Schijf van Vijf (50-50),Metropolitan,Rice,56954.83840735164
Schijf van Vijf (50-50),Metropolitan,Veg & Fruit,384729.45223335
Schijf van Vijf (50-50),Metropolitan,Ultra-Processed,186830.60327286125
Schijf van Vijf (50-50),Metropolitan,Soups,36328.48739926875
Schijf van Vijf (50-50),Metropolitan,Beverages & Additions,14391.651152235001
Schijf van Vijf (50-50),Metropolitan,Fats (Butter),21459.507907485677
Schijf van Vijf (50-50),Metropolitan,Oils (Plant-based),67047.6123253125
Schijf van Vijf (50-50),Metropolitan,Condiments,13207.537669515
Mediterranean Diet,Metropolitan,Red Meat,240764.33847298083
Mediterranean Diet,Metropolitan,Poultry,35161.416833530464
Mediterranean Diet,Metropolitan,Processed Meats,130952.328986972
Mediterranean Diet,Metropolitan,Dairy (Milk & Milkproducts),243865.30697550002
Mediterranean Diet,Metropolitan,Cheese & Eggs,98306.80856040074
Mediterranean Diet,Metropolitan,Fish,94026.24758694267
Mediterranean Diet,Metropolitan,Plant Protein,140783.999328
Mediterranean Diet,Metropolitan,Staples,423062.5611592065
Mediterranean Diet,Metropolitan,Rice,64074.19320827061
Mediterranean Diet,Metropolitan,Veg & Fruit,447828.00175774505
Mediterranean Diet,Metropolitan,Ultra-Processed,120475.57302615998
Mediterranean Diet,Metropolitan,Soups,43594.18487912249
Mediterranean Diet,Metropolitan,Beverages & Additions,18897.353014449
Mediterranean Diet,Metropolitan,Fats (Butter),14083.202560854883
Mediterranean Diet,Metropolitan,Oils (Plant-based),80457.134790375
Mediterranean Diet,Metropolitan,Condiments,11383.842614266501
Monitor 2024,Metabolic Balance,Red Meat,238829.66300226905
Monitor 2024,Metabolic Balance,Poultry,43951.77104191308
Monitor 2024,Metabolic Balance,Processed Meats,392856.98696091597
Monitor 2024,Metabolic Balance,Dairy (Milk & Milkproducts),268251.83767305
Monitor 2024,Metabolic Balance,Cheese & Eggs,127967.1198246801
Monitor 2024,Metabolic Balance,Fish,59102.21276893539
Monitor 2024,Metabolic Balance,Plant Protein,75990.61917216
Monitor 2024,Metabolic Balance,Staples,373153.9759721682
Monitor 2024,Metabolic Balance,Rice,42716.12880551373
Monitor 2024,Metabolic Balance,Veg & Fruit,257997.08921327774
Monitor 2024,Metabolic Balance,Ultra-Processed,250456.4662905154
Monitor 2024,Metabolic Balance,Soups,29062.789919414998
Monitor 2024,Metabolic Balance,Beverages & Additions,16927.673000594998
Monitor 2024,Metabolic Balance,Fats (Butter),33530.21410773477
Monitor 2024,Metabolic Balance,Oils (Plant-based),67047.6123253125
Monitor 2024,Metabolic Balance,Condiments,15376.73841788175
Amsterdam Theoretical,Metabolic Balance,Red Meat,309310.3525819597
Amsterdam Theoretical,Metabolic Balance,Poultry,49225.983566942654
Amsterdam Theoretical,Metabolic Balance,Processed Meats,458333.1514544021
Amsterdam Theoretical,Metabolic Balance,Dairy (Milk & Milkproducts),317024.89906814997
Amsterdam Theoretical,Metabolic Balance,Cheese & Eggs,132972.29377161228
Amsterdam Theoretical,Metabolic Balance,Fish,26864.6421676979
Amsterdam Theoretical,Metabolic Balance,Plant Protein,50898.326826815995
Amsterdam Theoretical,Metabolic Balance,Staples,368959.4135081473
Amsterdam Theoretical,Metabolic Balance,Rice,35596.77400459478
Amsterdam Theoretical,Metabolic Balance,Veg & Fruit,237761.34180114753
