Diet,Category,Scope1+2_tonnes_per_year,Scope3_tonnes_per_year,Total_tonnes_per_year,Scope1+2_pct,Scope3_pct
EAT-Lancet (Planetary),Fish,51341.316142711556,51341.316142711556,102682.63228542311,50.0,50.0
EAT-Lancet (Planetary),Plant Protein,40402.07480715,161608.2992286,202010.37403575,20.0,80.0
EAT-Lancet (Planetary),Staples,159331.81391278078,307780.59006703575,467112.40397981653,34.10995138541972,65.89004861458028
EAT-Lancet (Planetary),Rice,36788.425666551164,68321.36195216645,105109.78761871762,35.0,65.0
EAT-Lancet (Planetary),Veg & Fruit,137279.06434473002,370129.93323327,507408.99757800007,27.05491329479769,72.9450867052023
EAT-Lancet (Planetary),Ultra-Processed,54027.19842252355,89888.30906921766,143915.5074917412,37.540915057832784,62.45908494216721
EAT-Lancet (Planetary),Soups,17224.042417784996,21051.607399515,38275.6498173,44.99999999999999,55.00000000000001
EAT-Lancet (Planetary),Beverages & Additions,3795.3019818840003,6704.837967996,10500.13994988,36.14525139664805,63.85474860335195
EAT-Lancet (Planetary),Fats (Butter),3215.281685107718,4205.169180382718,7420.450865490437,43.330004381010234,56.66999561898975
EAT-Lancet (Planetary),Oils (Plant-based),20787.637400775,38605.612315725,59393.249716499995,35.0,65.0
EAT-Lancet (Planetary),Condiments,4153.127980175999,8194.801960884,12347.92994106,33.63420427553444,66.36579572446556
Schijf van 5 (Guideline),Red Meat,482829.625544564,321886.4170297093,804716.0425742733,60.0,40.0
Schijf van 5 (Guideline),Poultry,38834.09907127936,25889.399380852912,64723.49845213227,60.0,40.00000000000001
Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),208059.68650687498,208059.68650687498,416119.37301374995,50.0,50.0
Schijf van 5 (Guideline),Cheese & Eggs,92560.24409305849,80438.27232720293,172998.5164202614,53.50349009248377,46.49650990751622
Schijf van 5 (Guideline),Fish,45840.460841706736,45840.460841706736,91680.92168341347,50.0,50.0
Schijf van 5 (Guideline),Plant Protein,31405.097350095,97463.58953478001,128868.686884875,24.369843527738265,75.63015647226175
Schijf van 5 (Guideline),Staples,173871.4958368799,339534.3164748256,513405.81231170555,33.86628894090447,66.13371105909552
Schijf van 5 (Guideline),Rice,24525.617111034113,45547.57463477764,70073.19174581175,35.0,64.99999999999999
Schijf van 5 (Guideline),Veg & Fruit,121059.57442215002,328422.67343235,449482.2478545,26.933115823817293,73.0668841761827
Schijf van 5 (Guideline),Ultra-Processed,98943.62098517502,140810.31444254727,239753.9354277223,41.26882038814465,58.731179611855346
Schijf van 5 (Guideline),Soups,21530.053022231245,26314.509249393748,47844.56227162499,44.99999999999999,55.00000000000001
Schijf van 5 (Guideline),Beverages & Additions,6679.9074681150005,11284.717446135,17964.624914250002,37.18367346938775,62.816326530612244
Schijf van 5 (Guideline),Fats (Butter),11268.778230758082,16218.21570713308,27486.993937891162,40.99676471068715,59.00323528931284
Schijf van 5 (Guideline),Oils (Plant-based),28871.7186121875,53618.9059940625,82490.62460625,35.0,65.0
Schijf van 5 (Guideline),Condiments,5521.372473644999,10639.457449215,16160.82992286,34.16515426497277,65.83484573502723
Mediterranean Diet,Red Meat,328434.58974201314,218956.39316134207,547390.9829033553,60.0,39.99999999999999
Mediterranean Diet,Poultry,31067.27925702349,20711.519504682332,51778.798761705824,59.999999999999986,40.0
Mediterranean Diet,Dairy (Milk & Milkproducts),166447.7492055,166447.7492055,332895.498411,50.0,50.0
Mediterranean Diet,Cheese & Eggs,73303.5929769218,64212.11415253013,137515.70712945194,53.30561468728562,46.69438531271438
Mediterranean Diet,Fish,64176.645178389444,64176.645178389444,128353.29035677889,50.0,50.0
Mediterranean Diet,Plant Protein,34682.72483445,124652.49940500001,159335.22423945,21.76714219972388,78.23285780027612
Mediterranean Diet,Staples,176039.0022165968,341183.95547706843,517222.95769366523,34.03541927094024,65.96458072905976
Mediterranean Diet,Rice,27591.31924991338,51241.02146412485,78832.34071403823,35.0,65.0
Mediterranean Diet,Veg & Fruit,141275.27682565502,382118.570676045,523393.84750170005,26.99215466517232,73.00784533482768
Mediterranean Diet,Ultra-Processed,55754.84640009688,84048.18996865176,139803.03636874864,39.88099818736143,60.11900181263857
Mediterranean Diet,Soups,25836.063626677496,31577.411099272496,57413.47472594999,45.0,55.00000000000001
Mediterranean Diet,Beverages & Additions,9058.570456761,14684.064429908998,23742.63488667,38.153180975911056,61.84681902408894
Mediterranean Diet,Fats (Butter),7585.432114702937,10555.094600527937,18140.526715230873,41.814839413313024,58.185160586686976
Mediterranean Diet,Oils (Plant-based),34646.06233462499,64342.687192875,98988.74952749998,35.0,65.00000000000001
Mediterranean Diet,Condiments,4736.0617273934995,9181.0232061765,13917.08493357,34.03055848261327,65.96944151738671
