Diet,Category,Emissions_share_pct,Protein_share_pct
Amsterdam Goal,Beverages & Additions,0.5990074588795248,0.8986340762041698
Amsterdam Goal,Fats (Butter),0.7141423700862314,0.0
Amsterdam Goal,Oils (Plant-based),2.8107753544920344,0.5135051864023827
Amsterdam Goal,Condiments,0.5927612914250981,1.1322789360172538
EAT-Lancet,Red Meat,7.75766766509409,3.735345640749225
EAT-Lancet,Poultry,3.175325245245598,5.627273952297532
EAT-Lancet,Dairy (Milk & Milkproducts),17.598926544636562,0.0
EAT-Lancet,Cheese & Eggs,1.4234216616618198,0.0
EAT-Lancet,Fish,4.342754075382535,7.546152809594394
EAT-Lancet,Plant Protein,8.543619846779512,15.496563805417058
EAT-Lancet,Staples,19.755573565804042,50.246597493599246
EAT-Lancet,Rice,4.445405696992235,4.931949871984907
EAT-Lancet,Veg & Fruit,21.459836420948903,8.08516372456542
