Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Metabolic Balance,Amsterdam Theoretical,Dairy (Milk & Milkproducts),83223.87460275
Metabolic Balance,Amsterdam Theoretical,Cheese & Eggs,280971.64397745905
Metabolic Balance,Amsterdam Theoretical,Fish,146689.47469346155
Metabolic Balance,Amsterdam Theoretical,Plant Protein,54993.7497375
Metabolic Balance,Amsterdam Theoretical,Staples,107411.68365890504
Metabolic Balance,Amsterdam Theoretical,Rice,17518.29793645294
Metabolic Balance,Amsterdam Theoretical,Veg & Fruit,311631.2485125
Metabolic Balance,Amsterdam Theoretical,Ultra-Processed,54459.00791874122
Metabolic Balance,Amsterdam Theoretical,Soups,57413.47472594999
Metabolic Balance,Amsterdam Theoretical,Beverages & Additions,19651.099906199997
Metabolic Balance,Amsterdam Theoretical,Fats (Butter),123430.09025175363
Metabolic Balance,Amsterdam Theoretical,Oils (Plant-based),115486.87444875001
Metabolic Balance,Amsterdam Theoretical,Condiments,14591.67493035
Dutch Goal (60:40),Amsterdam Theoretical,Red Meat,563376.1340461537
Dutch Goal (60:40),Amsterdam Theoretical,Poultry,46600.91888553524
Dutch Goal (60:40),Amsterdam Theoretical,Dairy (Milk & Milkproducts),299605.9485699
Dutch Goal (60:40),Amsterdam Theoretical,Cheese & Eggs,114596.4226078766
Dutch Goal (60:40),Amsterdam Theoretical,Fish,44006.84240803847
Dutch Goal (60:40),Amsterdam Theoretical,Plant Protein,226170.961420425
Dutch Goal (60:40),Amsterdam Theoretical,Staples,544383.62644027
Dutch Goal (60:40),Amsterdam Theoretical,Rice,70073.19174581175
Dutch Goal (60:40),Amsterdam Theoretical,Veg & Fruit,426311.5479651
Dutch Goal (60:40),Amsterdam Theoretical,Ultra-Processed,217007.9898576061
Dutch Goal (60:40),Amsterdam Theoretical,Soups,47844.56227162499
Dutch Goal (60:40),Amsterdam Theoretical,Beverages & Additions,17964.624914250002
Dutch Goal (60:40),Amsterdam Theoretical,Fats (Butter),24739.776683730874
Dutch Goal (60:40),Amsterdam Theoretical,Oils (Plant-based),72591.7496535
Dutch Goal (60:40),Amsterdam Theoretical,Condiments,15486.239926080001
Amsterdam Goal (70:30),Amsterdam Theoretical,Red Meat,323859.94291182916
Amsterdam Goal (70:30),Amsterdam Theoretical,Poultry,25889.399380852912
Amsterdam Goal (70:30),Amsterdam Theoretical,Dairy (Milk & Milkproducts),166447.7492055
Amsterdam Goal (70:30),Amsterdam Theoretical,Cheese & Eggs,99443.95790055714
Amsterdam Goal (70:30),Amsterdam Theoretical,Fish,55008.55301004808
Amsterdam Goal (70:30),Amsterdam Theoretical,Plant Protein,262503.498747
Amsterdam Goal (70:30),Amsterdam Theoretical,Staples,536658.0790480362
Amsterdam Goal (70:30),Amsterdam Theoretical,Rice,87591.48968226468
Amsterdam Goal (70:30),Amsterdam Theoretical,Veg & Fruit,449482.2478545
Amsterdam Goal (70:30),Amsterdam Theoretical,Ultra-Processed,172801.07111845337
Amsterdam Goal (70:30),Amsterdam Theoretical,Soups,57413.47472594999
Amsterdam Goal (70:30),Amsterdam Theoretical,Beverages & Additions,14063.73493287
Amsterdam Goal (70:30),Amsterdam Theoretical,Fats (Butter),16766.918088150727
Amsterdam Goal (70:30),Amsterdam Theoretical,Oils (Plant-based),65992.49968499999
Amsterdam Goal (70:30),Amsterdam Theoretical,Condiments,13917.08493357
EAT-Lancet (Planetary),Amsterdam Theoretical,Red Meat,183426.85826095415
EAT-Lancet (Planetary),Amsterdam Theoretical,Poultry,75079.25820447344
EAT-Lancet (Planetary),Amsterdam Theoretical,Dairy (Milk & Milkproducts),416119.37301374995
EAT-Lancet (Planetary),Amsterdam Theoretical,Cheese & Eggs,33656.21919510879
EAT-Lancet (Planetary),Amsterdam Theoretical,Fish,102682.63228542311
EAT-Lancet (Planetary),Amsterdam Theoretical,Plant Protein,202010.37403575
EAT-Lancet (Planetary),Amsterdam Theoretical,Staples,467112.40397981653
EAT-Lancet (Planetary),Amsterdam Theoretical,Rice,105109.78761871762
EAT-Lancet (Planetary),Amsterdam Theoretical,Veg & Fruit,507408.99757800007
EAT-Lancet (Planetary),Amsterdam Theoretical,Ultra-Processed,143915.5074917412
EAT-Lancet (Planetary),Amsterdam Theoretical,Soups,38275.6498173
EAT-Lancet (Planetary),Amsterdam Theoretical,Beverages & Additions,10500.13994988
EAT-Lancet (Planetary),Amsterdam Theoretical,Fats (Butter),7420.450865490437
EAT-Lancet (Planetary),Amsterdam Theoretical,Oils (Plant-based),59393.249716499995
EAT-Lancet (Planetary),Amsterdam Theoretical,Condiments,12347.92994106
Schijf van 5 (Guideline),Amsterdam Theoretical,Red Meat,804716.0425742733
